date,open,high,low,close,volume,average,barCount
2026-05-04 12:38:00-04:00,415.88,415.92,415.35,415.47,68626.0,415.538,709
2026-05-04 12:40:00-04:00,415.41,415.79,415.26,415.55,56880.0,415.562,470
2026-05-04 12:42:00-04:00,415.62,415.7,415.35,415.56,57248.0,415.529,508
2026-05-04 12:44:00-04:00,415.57,415.88,415.37,415.44,44743.0,415.611,387
2026-05-04 12:46:00-04:00,415.46,415.5,415.06,415.23,45395.0,415.286,421
2026-05-04 12:48:00-04:00,415.24,415.44,415.15,415.34,62595.0,415.254,435
2026-05-04 12:50:00-04:00,415.33,415.53,414.94,415.2,82346.0,415.222,684
2026-05-04 12:52:00-04:00,415.19,415.24,414.83,414.9,46677.0,415.026,454
2026-05-04 12:54:00-04:00,414.86,414.98,414.37,414.39,85850.0,414.665,728
2026-05-04 12:56:00-04:00,414.43,414.56,414.08,414.13,51571.0,414.318,493
2026-05-04 12:58:00-04:00,414.13,414.31,413.94,414.04,116716.0,414.097,1070
2026-05-04 13:00:00-04:00,414.09,414.49,413.99,414.19,47587.0,414.202,447
2026-05-04 13:02:00-04:00,414.11,414.38,414.02,414.15,24651.0,414.197,278
2026-05-04 13:04:00-04:00,414.13,414.47,414.13,414.25,53620.0,414.279,506
2026-05-04 13:06:00-04:00,414.21,414.62,414.17,414.34,61276.0,414.407,492
2026-05-04 13:08:00-04:00,414.48,414.54,414.0,414.15,60987.0,414.197,441
2026-05-04 13:10:00-04:00,414.13,414.27,413.77,413.84,70052.0,414.039,676
2026-05-04 13:12:00-04:00,413.84,413.99,413.73,413.96,69600.0,413.832,585
2026-05-04 13:14:00-04:00,413.96,414.23,413.88,414.18,57757.0,414.061,438
2026-05-04 13:16:00-04:00,414.21,414.7,414.07,414.4,77138.0,414.352,726
2026-05-04 13:18:00-04:00,414.38,414.85,414.38,414.83,70261.0,414.722,634
2026-05-04 13:20:00-04:00,414.83,415.18,414.83,415.04,87173.0,415.029,726
2026-05-04 13:22:00-04:00,415.04,415.15,414.57,414.77,51606.0,414.806,455
2026-05-04 13:24:00-04:00,414.83,414.96,414.65,414.68,35941.0,414.801,314
2026-05-04 13:26:00-04:00,414.66,414.75,414.51,414.55,28790.0,414.615,277
2026-05-04 13:28:00-04:00,414.55,414.61,414.37,414.58,31997.0,414.469,312
2026-05-04 13:30:00-04:00,414.58,414.78,414.4,414.6,45411.0,414.53,437
2026-05-04 13:32:00-04:00,414.62,414.92,414.57,414.75,55987.0,414.759,431
2026-05-04 13:34:00-04:00,414.77,414.89,414.56,414.56,63120.0,414.722,543
2026-05-04 13:36:00-04:00,414.59,414.76,414.28,414.5,37123.0,414.551,433
2026-05-04 13:38:00-04:00,414.48,414.76,414.37,414.63,42709.0,414.56,411
2026-05-04 13:40:00-04:00,414.67,414.81,414.51,414.6,30215.0,414.681,361
2026-05-04 13:42:00-04:00,414.6,414.88,414.57,414.88,23215.0,414.732,276
2026-05-04 13:44:00-04:00,414.85,414.88,414.56,414.58,43153.0,414.769,402
2026-05-04 13:46:00-04:00,414.6,414.86,414.6,414.83,28986.0,414.756,222
2026-05-04 13:48:00-04:00,414.84,415.17,414.81,415.04,45745.0,415.018,362
2026-05-04 13:50:00-04:00,415.02,415.15,414.78,414.87,44639.0,414.995,442
2026-05-04 13:52:00-04:00,414.84,415.16,414.84,415.14,28478.0,415.029,286
2026-05-04 13:54:00-04:00,415.16,415.2,414.94,415.02,30270.0,415.103,369
2026-05-04 13:56:00-04:00,415.0,415.15,414.88,414.99,34178.0,415.021,378
2026-05-04 13:58:00-04:00,414.99,415.14,414.54,414.54,44909.0,414.896,364
2026-05-04 14:00:00-04:00,414.55,414.85,414.53,414.7,33816.0,414.685,347
2026-05-04 14:02:00-04:00,414.68,415.46,414.68,415.19,49738.0,415.14,481
